time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-11-26T14:23:17.591Z,37.3264,-117.1416,0,1.57,ml,20,126.08,0.357,,nn,nn00429911,2013-11-26T14:26:09.000Z,"43km S of Goldfield, Nevada",earthquake
2013-11-26T14:13:02.200Z,35.2367,-118.073,1.8,1.5,Ml,22,50.4,0.18864621,0.17,ci,ci11395442,2013-11-26T14:15:34.932Z,"14km NNW of California City, California",earthquake
2013-11-26T14:05:14.000Z,62.9207,-146.6713,20.4,1.9,Ml,,,,0.56,ak,ak10876636,2013-11-26T14:14:35.763Z,"107km NNW of Glennallen, Alaska",earthquake
2013-11-26T14:03:22.958Z,39.6067,-119.435,10.4971,1.35,ml,25,97.85,0.111,0.1773,nn,nn00429909,2013-11-26T14:33:12.000Z,"15km W of Fernley, Nevada",earthquake
2013-11-26T13:38:33.100Z,33.4845,-116.4818,14.2,1.2,Ml,18,97.2,0.08084838,0.13,ci,ci11395434,2013-11-26T13:40:44.740Z,"19km ESE of Anza, California",earthquake
2013-11-26T13:13:04.000Z,62.6242,-151.034,58.7,1.4,Ml,,,,0.5,ak,ak10876633,2013-11-26T13:19:42.007Z,"58km NW of Talkeetna, Alaska",earthquake
2013-11-26T13:10:14.000Z,38.8757,-122.8,3,1.2,Md,,93.6,0.00898315,0.06,nc,nc72110240,2013-11-26T13:25:01.980Z,"8km NW of Cobb, California",earthquake
2013-11-26T12:57:50.000Z,59.9614,-151.7522,46,1.7,Ml,,,,0.1,ak,ak10876629,2013-11-26T13:03:09.040Z,"21km NNE of Anchor Point, Alaska",earthquake
2013-11-26T12:46:22.200Z,33.5088,-116.4577,11.7,1.5,Ml,43,90,0.02694946,0.19,ci,ci11395426,2013-11-26T12:57:22.850Z,"20km ESE of Anza, California",earthquake
2013-11-26T12:40:55.000Z,62.0652,-149.6143,35.7,1.6,Ml,,,,0.38,ak,ak10876622,2013-11-26T12:49:00.177Z,"16km SE of Y, Alaska",earthquake
2013-11-26T12:39:07.000Z,66.2481,-150.2534,0,1.4,Ml,,,,0.55,ak,ak10876620,2013-11-26T12:43:57.805Z,"111km ESE of New Allakaket, Alaska",earthquake
2013-11-26T12:03:00.600Z,33.9095,-116.7637,18.4,2.4,Ml,87,21.6,0.08084838,0.21,ci,ci11395410,2013-11-26T12:14:32.060Z,"2km ESE of Cabazon, California",earthquake
2013-11-26T11:46:20.800Z,33.7207,-116.7683,18.4,1.1,Ml,19,201.6,0.04491576,0.07,ci,ci11395402,2013-11-26T11:48:30.825Z,"4km SW of Idyllwild-Pine Cove, California",earthquake
2013-11-26T11:43:46.300Z,32.872,-116.2192,12.2,1.7,Ml,44,64.8,0.05389892,0.23,ci,ci11395394,2013-11-26T11:55:16.380Z,"29km E of Pine Valley, California",earthquake
2013-11-26T11:19:57.100Z,33.1648,-116.3705,12.3,1.1,Ml,14,212.4,0.10779783,0.21,ci,ci11395386,2013-11-26T11:24:35.971Z,"10km S of Borrego Springs, California",earthquake
2013-11-26T11:10:55.400Z,38.7925,-122.8098,3.4,1,Md,,129.6,0.00898315,0.03,nc,nc72110200,2013-11-26T11:58:06.153Z,"4km WNW of The Geysers, California",earthquake
2013-11-26T09:58:38.600Z,38.8107,-122.8195,3.6,1.1,Md,,118.8,0.00898315,0.02,nc,nc72110140,2013-11-26T14:34:09.640Z,"6km NW of The Geysers, California",earthquake
2013-11-26T09:54:01.000Z,62.9583,-150.6509,81.6,1.6,Ml,,,,1.5,ak,ak10876601,2013-11-26T09:58:19.375Z,"75km NNW of Talkeetna, Alaska",earthquake
2013-11-26T09:39:57.700Z,38.8088,-122.8182,3.3,2.6,Md,,25.2,0.00898315,0.03,nc,nc72110115,2013-11-26T14:05:11.369Z,"6km WNW of The Geysers, California",earthquake
